FID,Id,Name,Reg_Section,Location,Classifica,Title,Area_Size,Owner,Tenure,Leasehold,Lease_end,Use,Development,Unimproved,Improved,Date_of_Valuation,Rate_Structure,land_rate,land_rent,pay_rate,pay_rent
0,0,4841,Section A,Katheri,Residential,Freehold,1200 sqm,James Kipchoge,Permanent,Yes,2026-01-15,Residential,Single-family House,1000 sqm,200 sqm,2023-09-21,Fixed,7800.00,3900.00,Monthly,1560.00
1,0,4842,Section B,Katheri,Commercial,Leasehold,1500 sqm,Esther Njeri,Lease,No,2032-07-20,Commercial,Retail Store,1300 sqm,200 sqm,2023-09-21,Variable,9100.00,0.00,Quarterly,0.00
2,0,4843,Section C,Katheri,Industrial,Freehold,2000 sqm,John Mugo,Permanent,Yes,2028-05-10,Industrial,Factory,1700 sqm,300 sqm,2023-09-21,Fixed,15600.00,7800.00,Monthly,3120.00
3,0,1557 MUTHANGENE SCHOOL,Section D,Katheri,Institutional,Freehold,5000 sqm,Paul Maina,Permanent,Yes,2030-11-30,Institutional,School,4500 sqm,500 sqm,2023-09-21,Fixed,24000.00,12000.00,Monthly,4800.00
4,0,1560 CHURCH,Section E,Katheri,Religious,Freehold,800 sqm,Mary Chebet,Permanent,Yes,2027-12-10,Religious,Church,700 sqm,100 sqm,2023-09-21,Fixed,6800.00,3400.00,Monthly,1360.00
5,0,1558 KITHAKU MARKET,Section F,Katheri,Commercial,Leasehold,1800 sqm,Patrick Muthoni,Lease,No,2033-02-15,Commercial,Market,1600 sqm,200 sqm,2023-09-21,Variable,9600.00,0.00,Quarterly,0.00
6,0,5820,Section G,Katheri,Residential,Freehold,1000 sqm,Anne Wanjiru,Permanent,Yes,2026-04-20,Residential,Single-family House,900 sqm,100 sqm,2023-09-21,Fixed,6900.00,3450.00,Monthly,1380.00
7,0,5819,Section H,Katheri,Commercial,Freehold,1400 sqm,Michael Omondi,Permanent,Yes,2029-11-05,Commercial,Shopping Complex,1200 sqm,200 sqm,2023-09-21,Fixed,12400.00,6200.00,Monthly,2480.00
8,0,5693,Section I,Katheri,Residential,Leasehold,600 sqm,Janet Nkatha,Lease,No,2032-04-30,Residential,Apartment Building,500 sqm,100 sqm,2023-09-21,Variable,5400.00,0.00,Annually,0.00
9,0,5692,Section J,Katheri,Industrial,Freehold,1800 sqm,Paul Maina,Permanent,Yes,2028-10-15,Industrial,Factory,1500 sqm,300 sqm,2023-09-21,Fixed,11000.00,5500.00,Monthly,2200.00
10,0,5878,Section K,Katheri,Residential,Freehold,900 sqm,Lucy Wambui,Permanent,Yes,2025-02-28,Residential,Single-family House,800 sqm,100 sqm,2023-09-21,Fixed,7200.00,3600.00,Monthly,1440.00
11,0,5879,Section L,Katheri,Commercial,Leasehold,1200 sqm,Grace Njeri,Lease,No,2032-05-01,Commercial,Retail Store,1000 sqm,200 sqm,2023-09-21,Variable,8400.00,0.00,Quarterly,0.00
12,0,5093,Section M,Katheri,Residential,Freehold,600 sqm,John Mugo,Permanent,Yes,2027-08-15,Residential,Single-family House,500 sqm,100 sqm,2023-09-21,Fixed,7500.00,3750.00,Monthly,1500.00
13,0,5094,Section N,Katheri,Industrial,Freehold,2500 sqm,Mary Chebet,Permanent,Yes,2029-11-30,Industrial,Warehouse,2000 sqm,500 sqm,2023-09-21,Fixed,13500.00,6750.00,Monthly,2700.00
14,0,5095,Section O,Katheri,Commercial,Leasehold,1800 sqm,Patrick Muthoni,Lease,No,2032-10-01,Commercial,Office Building,1600 sqm,200 sqm,2023-09-21,Variable,9600.00,0.00,Quarterly,0.00
15,0,5096,Section P,Katheri,Residential,Freehold,1000 sqm,Anne Wanjiru,Permanent,Yes,2026-03-15,Residential,Single-family House,900 sqm,100 sqm,2023-09-21,Fixed,6900.00,3450.00,Monthly,1380.00
16,0,5097,Section Q,Katheri,Commercial,Freehold,1400 sqm,Michael Omondi,Permanent,Yes,2028-10-31,Commercial,Shopping Complex,1200 sqm,200 sqm,2023-09-21,Fixed,12400.00,6200.00,Monthly,2480.00
17,0,5098,Section R,Katheri,Residential,Leasehold,600 sqm,Janet Nkatha,Lease,No,2031-02-28,Residential,Apartment Building,500 sqm,100 sqm,2023-09-21,Variable,5400.00,0.00,Annually,0.00
18,0,5099,Section S,Katheri,Industrial,Freehold,1800 sqm,Paul Maina,Permanent,Yes,2027-08-31,Industrial,Factory,1500 sqm,300 sqm,2023-09-21,Fixed,11000.00,5500.00,Monthly,2200.00
19,0,5100,Section T,Katheri,Residential,Freehold,900 sqm,Lucy Wambui,Permanent,Yes,2025-02-15,Residential,Single-family House,800 sqm,100 sqm,2023-09-21,Fixed,7200.00,3600.00,Monthly,1440.00
20,0,5101,Section U,Katheri,Commercial,Leasehold,1200 sqm,Grace Njeri,Lease,No,2032-05-15,Commercial,Retail Store,1000 sqm,200 sqm,2023-09-21,Variable,8400.00,0.00,Quarterly,0.00
21,0,2040,Section V,Katheri,Residential,Freehold,600 sqm,John Mugo,Permanent,Yes,2027-08-15,Residential,Single-family House,500 sqm,100 sqm,2023-09-21,Fixed,7500.00,3750.00,Monthly,1500.00
22,0,2041,Section W,Katheri,Industrial,Freehold,2500 sqm,Mary Chebet,Permanent,Yes,2029-11-30,Industrial,Warehouse,2000 sqm,500 sqm,2023-09-21,Fixed,13500.00,6750.00,Monthly,2700.00
23,0,2042,Section X,Katheri,Commercial,Leasehold,1800 sqm,Patrick Muthoni,Lease,No,2032-10-15,Commercial,Office Building,1600 sqm,200 sqm,2023-09-21,Variable,9600.00,0.00,Quarterly,0.00
24,0,2043,Section Y,Katheri,Residential,Freehold,1000 sqm,Anne Wanjiru,Permanent,Yes,2026-03-20,Residential,Single-family House,900 sqm,100 sqm,2023-09-21,Fixed,6900.00,3450.00,Monthly,1380.00
25,0,4199,Section Z,Katheri,Commercial,Freehold,1400 sqm,Michael Omondi,Permanent,Yes,2029-12-10,Commercial,Shopping Complex,1200 sqm,200 sqm,2023-09-21,Fixed,12400.00,6200.00,Monthly,2480.00
26,0,4776,Section AA,Katheri,Residential,Leasehold,600 sqm,Janet Nkatha,Lease,No,2031-03-20,Residential,Apartment Building,500 sqm,100 sqm,2023-09-21,Variable,5400.00,0.00,Annually,0.00
27,0,4434,Section BB,Katheri,Industrial,Freehold,1800 sqm,Paul Maina,Permanent,Yes,2027-09-30,Industrial,Factory,1500 sqm,300 sqm,2023-09-21,Fixed,11000.00,5500.00,Monthly,2200.00
28,0,4777,Section CC,Katheri,Residential,Freehold,900 sqm,Lucy Wambui,Permanent,Yes,2025-03-01,Residential,Single-family House,800 sqm,100 sqm,2023-09-21,Fixed,7200.00,3600.00,Monthly,1440.00
29,0,1612,Section DD,Katheri,Commercial,Leasehold,1200 sqm,Grace Njeri,Lease,No,2032-06-15,Commercial,Retail Store,1000 sqm,200 sqm,2023-09-21,Variable,8400.00,0.00,Quarterly,0.00
30,0,3293,Section EE,Katheri,Residential,Freehold,600 sqm,John Mugo,Permanent,Yes,2027-07-20,Residential,Single-family House,500 sqm,100 sqm,2023-09-21,Fixed,7500.00,3750.00,Monthly,1500.00
31,0,3293,Section FF,Katheri,Industrial,Freehold,2500 sqm,Mary Chebet,Permanent,Yes,2029-10-10,Industrial,Warehouse,2000 sqm,500 sqm,2023-09-21,Fixed,13500.00,6750.00,Monthly,2700.00
32,0,4198,Section GG,Katheri,Commercial,Leasehold,1800 sqm,Patrick Muthoni,Lease,No,2032-09-20,Commercial,Office Building,1600 sqm,200 sqm,2023-09-21,Variable,9600.00,0.00,Quarterly,0.00
33,0,4197,Section HH,Katheri,Residential,Freehold,1000 sqm,Anne Wanjiru,Permanent,Yes,2026-02-15,Residential,Single-family House,900 sqm,100 sqm,2023-09-21,Fixed,6900.00,3450.00,Monthly,1380.00
